keyword,count,mean,std,std_bucket
review_id,122.0,60.5,35.36240942017385,Very High
pho,122.0,0.3177614754098361,0.402408458343715,Very High
service,66.0,0.47253636363636364,0.3930948308512312,High
roll,50.0,0.304458,0.34892615211326794,Very Low
rice,39.0,0.22916153846153847,0.36531340446496263,Low
egg roll,30.0,0.2738366666666667,0.3760576739363748,High
broth,27.0,0.4166148148148148,0.34948915214121806,Low
price,26.0,0.2267423076923077,0.3662365860184665,Low
bun,25.0,0.394096,0.36888215878064184,High
pork,25.0,0.253488,0.2884929538712052,Very Low
parking,18.0,0.19101666666666667,0.44559386447618815,Very High
noodle,18.0,0.4074611111111111,0.3209178255436024,Very Low
beef,16.0,0.32928749999999996,0.3514468947555709,Low
Bun Bo Hue,15.0,0.3682066666666666,0.3984366457376463,Very High
banh,14.0,0.40705,0.3025426625986948,Very Low
